"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","выбрасывает ошибку при температуре датчика ниже абсолютного нуля","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Валидация температур","",""
"","2489","Температура 15°, режим Комфорт → команда ""Выкл""","webkit","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","451","Ввод нечислового значения (буквы) → ошибка","chromium","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","570","Ввести -300° → ошибка ниже абсолютного нуля","firefox","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","462","Температура 25°, режим Эко → команда ""Вкл""","chromium","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","12","включает котел при температуре ниже целевой более чем на 3 градуса","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Эко режим","",""
"","1","включает котел при температуре ниже целевой более чем на 0.5 градуса","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Комфорт режим","",""
"","1209","Пустой ввод → ошибка","webkit","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","выбрасывает ошибку, если датчик вернул NaN","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Валидация температур","",""
"","1","не включает котел при температуре выше целевой","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Комфорт режим","",""
"","522","Пустой ввод → ошибка","chromium","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1294","Температура 25°, режим Эко → команда ""Вкл""","webkit","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","433","Ввести -300° → ошибка ниже абсолютного нуля","chromium","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1248","Ввод нечислового значения (буквы) → ошибка","webkit","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2048","Температура 15°, режим Комфорт → команда ""Выкл""","firefox","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","пробрасывает ошибку, если сервис датчиков упал с ошибкой соединения","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Валидация температур","",""
"","1","не включает котел при разнице менее 3 градусов","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Эко режим","",""
"","677","Температура 25°, режим Эко → команда ""Вкл""","firefox","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","604","Пустой ввод → ошибка","firefox","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","573","Ввод нечислового значения (буквы) → ошибка","firefox","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","1233","Ввести -300° → ошибка ниже абсолютного нуля","webkit","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
"","2","Должен выбросить ошибку безопасности, если датчик вернул undefined","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Безопасность и ошибки датчика","",""
"","2","Должен выбросить ошибку безопасности, если датчик вернул null (дребезг)","shouldTurnOnBoiler (Async with Mocks)","2026-04-08","passed","2026-04-08","","Безопасность и ошибки датчика","",""
"","543","Температура 15°, режим Комфорт → команда ""Выкл""","chromium","2026-04-08","passed","2026-04-08","E2E Тесты: Контроллер умного отопления (Вариант 6)","heating.spec.ts","",""
